Місце,Preview_pts,Адреса,Слот,Заявлено,Зараховано,База_очок
3,63,0x30ebd0cdb2b08de200f67089a59048c3c9657eb7bf005a8717aaa9f0554b1307,11,Bowen (WHU),Bowen (WHU),2
3,63,0x30ebd0cdb2b08de200f67089a59048c3c9657eb7bf005a8717aaa9f0554b1307,Лава1,Cherki (MCI),Cherki (MCI),0
3,63,0x30ebd0cdb2b08de200f67089a59048c3c9657eb7bf005a8717aaa9f0554b1307,Лава2,B.Fernandes (MUN),B.Fernandes (MUN),9
3,63,0x30ebd0cdb2b08de200f67089a59048c3c9657eb7bf005a8717aaa9f0554b1307,Лава3,Richarlison (TOT),Richarlison (TOT),0
4,59,0x77e3d3b82e77b7d66c537cef8d2c56ef05e52384dfa67366026b66d4530e9c80,1,Raya (ARS),Raya (ARS),6
4,59,0x77e3d3b82e77b7d66c537cef8d2c56ef05e52384dfa67366026b66d4530e9c80,2,Gabriel (ARS),Gabriel (ARS),6
4,59,0x77e3d3b82e77b7d66c537cef8d2c56ef05e52384dfa67366026b66d4530e9c80,3,Saliba (ARS),Saliba (ARS),8
4,59,0x77e3d3b82e77b7d66c537cef8d2c56ef05e52384dfa67366026b66d4530e9c80,4,O'Reilly (MCI),Tarkowski (EVE),1
4,59,0x77e3d3b82e77b7d66c537cef8d2c56ef05e52384dfa67366026b66d4530e9c80,5,O'Brien (EVE),O'Brien (EVE),0
4,59,0x77e3d3b82e77b7d66c537cef8d2c56ef05e52384dfa67366026b66d4530e9c80,6,Doku (MCI),Stach (LEE),3
4,59,0x77e3d3b82e77b7d66c537cef8d2c56ef05e52384dfa67366026b66d4530e9c80,7,O.Dango (BRE),O.Dango (BRE),15
4,59,0x77e3d3b82e77b7d66c537cef8d2c56ef05e52384dfa67366026b66d4530e9c80,8,Wilson (FUL),Wilson (FUL),1
4,59,0x77e3d3b82e77b7d66c537cef8d2c56ef05e52384dfa67366026b66d4530e9c80,9,Haaland (MCI),Beto (EVE),2
4,59,0x77e3d3b82e77b7d66c537cef8d2c56ef05e52384dfa67366026b66d4530e9c80,10,Thiago (BRE),Thiago (BRE),2
4,59,0x77e3d3b82e77b7d66c537cef8d2c56ef05e52384dfa67366026b66d4530e9c80,11,Osula (NEW),Osula (NEW),15
4,59,0x77e3d3b82e77b7d66c537cef8d2c56ef05e52384dfa67366026b66d4530e9c80,Лава1,Stach (LEE),Stach (LEE),3
4,59,0x77e3d3b82e77b7d66c537cef8d2c56ef05e52384dfa67366026b66d4530e9c80,Лава2,Tarkowski (EVE),Tarkowski (EVE),1
4,59,0x77e3d3b82e77b7d66c537cef8d2c56ef05e52384dfa67366026b66d4530e9c80,Лава3,Beto (EVE),Beto (EVE),2
5,59,0xfa01f04208e83dae4520a6e831bb2fb78cb07af954e42ada4e17810ecc1d9db6,1,Raya (ARS),Raya (ARS),6
5,59,0xfa01f04208e83dae4520a6e831bb2fb78cb07af954e42ada4e17810ecc1d9db6,2,Gabriel (ARS),Gabriel (ARS),6
5,59,0xfa01f04208e83dae4520a6e831bb2fb78cb07af954e42ada4e17810ecc1d9db6,3,Senesi (BOU),Senesi (BOU),0
5,59,0xfa01f04208e83dae4520a6e831bb2fb78cb07af954e42ada4e17810ecc1d9db6,4,Guéhi (MCI),Guéhi (MCI),0
5,59,0xfa01f04208e83dae4520a6e831bb2fb78cb07af954e42ada4e17810ecc1d9db6,5,Tarkowski (EVE),Tarkowski (EVE),1
5,59,0xfa01f04208e83dae4520a6e831bb2fb78cb07af954e42ada4e17810ecc1d9db6,6,B.Fernandes (MUN),B.Fernandes (MUN),9
5,59,0xfa01f04208e83dae4520a6e831bb2fb78cb07af954e42ada4e17810ecc1d9db6,7,Doku (MCI),Anderson (NFO),10
5,59,0xfa01f04208e83dae4520a6e831bb2fb78cb07af954e42ada4e17810ecc1d9db6,8,Dewsbury-Hall (EVE),Dewsbury-Hall (EVE),2
5,59,0xfa01f04208e83dae4520a6e831bb2fb78cb07af954e42ada4e17810ecc1d9db6,9,Haaland (MCI),Haaland (MCI),0
5,59,0xfa01f04208e83dae4520a6e831bb2fb78cb07af954e42ada4e17810ecc1d9db6,10,Watkins (AVL),Watkins (AVL),17
5,59,0xfa01f04208e83dae4520a6e831bb2fb78cb07af954e42ada4e17810ecc1d9db6,11,Calvert-Lewin (LEE),Calvert-Lewin (LEE),8
5,59,0xfa01f04208e83dae4520a6e831bb2fb78cb07af954e42ada4e17810ecc1d9db6,Лава1,Anderson (NFO),Anderson (NFO),10
5,59,0xfa01f04208e83dae4520a6e831bb2fb78cb07af954e42ada4e17810ecc1d9db6,Лава2,Casemiro (MUN),Casemiro (MUN),1
5,59,0xfa01f04208e83dae4520a6e831bb2fb78cb07af954e42ada4e17810ecc1d9db6,Лава3,Rayan (BOU),Rayan (BOU),0
6,58,0xd2d162d35e9bb1ce41663246ad63d5d8b8fa5ad233bc7626956b5a22f6586eeb,1,Henderson (CRY),Henderson (CRY),0
6,58,0xd2d162d35e9bb1ce41663246ad63d5d8b8fa5ad233bc7626956b5a22f6586eeb,2,O'Reilly (MCI),Van Hecke (BHA),2
6,58,0xd2d162d35e9bb1ce41663246ad63d5d8b8fa5ad233bc7626956b5a22f6586eeb,3,Lacroix (CRY),Lacroix (CRY),2
6,58,0xd2d162d35e9bb1ce41663246ad63d5d8b8fa5ad233bc7626956b5a22f6586eeb,4,Gabriel (ARS),Gabriel (ARS),6
6,58,0xd2d162d35e9bb1ce41663246ad63d5d8b8fa5ad233bc7626956b5a22f6586eeb,5,Saliba (ARS),Saliba (ARS),8
6,58,0xd2d162d35e9bb1ce41663246ad63d5d8b8fa5ad233bc7626956b5a22f6586eeb,6,Cherki (MCI),Hinshelwood (BHA),3
6,58,0xd2d162d35e9bb1ce41663246ad63d5d8b8fa5ad233bc7626956b5a22f6586eeb,7,Saka (ARS),Saka (ARS),8
6,58,0xd2d162d35e9bb1ce41663246ad63d5d8b8fa5ad233bc7626956b5a22f6586eeb,8,B.Fernandes (MUN),B.Fernandes (MUN),9
