file	hint	pred	score	outside	bay_changed	stripe	dark	white	med_r	med_g	med_b
Hang_kits_on_hooks_202607270120_3.jpeg		14	42.04	10.39	0.5762	34.2	0.065	0.005	153	42	47
Edit_locker_room_photo_with_202607270120_9.jpeg		6	41.78	10.53	0.5757	38.8	0.218	0.003	31	54	117
Edit_locker_room_photo_with_202607270120_16.jpeg		15	41.67	10.10	0.5681	51.7	0.045	0.193	190	148	146
Edit_locker_room_photo_with_202607270120_11.jpeg		6	41.29	10.47	0.5700	38.0	0.156	0.000	30	54	119
Edit_locker_room_photo_202607270120_12.jpeg		8	41.22	9.98	0.5619	48.0	0.009	0.433	196	195	200
Edit_locker_room_photo_with_202607270120_5.jpeg		8	41.17	9.77	0.5582	56.1	0.019	0.434	198	195	197
Kits_on_locker_hooks_202607270120_2.jpeg		15	41.15	9.61	0.5557	46.1	0.025	0.229	129	148	178
Edit_locker_room_photo_202607270120_15.jpeg		15	41.14	10.03	0.5619	59.5	0.250	0.110	129	131	132
Hang_kits_on_hooks_202607270120_5.jpeg		15	41.12	10.17	0.5638	44.2	0.014	0.202	173	143	140
Edit_locker_room_photo_202607270120_10.jpeg		8	40.94	9.90	0.5579	47.6	0.017	0.584	206	207	207
Edit_locker_room_photo_with_202607270120_8.jpeg		6	40.42	10.12	0.5560	36.0	0.188	0.000	34	53	116
Hang_kits_on_hooks_202607270120_2.jpeg		14	40.33	10.54	0.5615	38.2	0.135	0.006	147	36	40
Edit_locker_room_photo_with_202607270120_10.jpeg		6	39.74	11.25	0.5661	42.2	0.176	0.009	36	57	119
Edit_locker_room_photo_202607270120_13.jpeg		15	39.74	10.29	0.5518	70.5	0.164	0.352	134	134	134
Edit_locker_room_photo_with_202607270120.jpeg		11	39.73	10.44	0.5538	50.1	0.058	0.189	168	126	123
Edit_locker_room_photo_202607270120_14.jpeg		17	39.63	9.94	0.5454	72.3	0.284	0.228	118	118	117
Hang_kits_on_hooks_202607270120_4.jpeg		14	39.34	10.31	0.5480	35.5	0.080	0.006	154	52	54
Edit_locker_room_photo_202607270120_3.jpeg		6	38.83	10.97	0.5529	41.7	0.058	0.099	19	53	130
Edit_locker_room_photo_202607270120_16.jpeg		8	38.81	10.61	0.5473	58.1	0.211	0.104	200	200	200
Edit_locker_room_photo_with_202607270120_14.jpeg		11	38.80	10.05	0.5388	33.1	0.048	0.003	188	144	91
Edit_locker_room_photo_with_202607270120_4.jpeg		15	38.71	10.12	0.5389	45.9	0.009	0.309	188	184	183
Edit_locker_room_photo_with_202607270120_2.jpeg		11	38.33	10.25	0.5370	48.9	0.028	0.213	179	133	128
Kits_on_locker_hooks_202607270120_4.jpeg		15	38.14	9.72	0.5272	41.3	0.016	0.195	159	168	184
Edit_locker_room_photo_202607270120_9.jpeg		8	37.81	9.90	0.5267	42.8	0.014	0.342	207	207	206
Edit_locker_room_photo_202607270120_6.jpeg		8	37.08	10.02	0.5210	49.7	0.009	0.647	213	213	213
Kits_on_locker_hooks_202607270120_3.jpeg		15	36.67	9.47	0.5088	43.5	0.015	0.195	132	145	166
Hang_kits_on_hooks_202607270120.jpeg		14	36.03	10.38	0.5160	32.5	0.052	0.033	164	62	65
Kits_on_locker_hooks_202607270120.jpeg		15	35.43	9.70	0.4998	46.0	0.019	0.272	145	164	186
Hang_kits_on_hooks_202607270120_8.jpeg		11	33.25	9.50	0.4750	51.5	0.019	0.289	173	130	128
